	COND	CONDIRR	DN	DNN	IMP	IN	IRR	MODAL	QUEST	RESTR	all_occ	all_other	lemma	nonver	pos
0	21	19	369	1	11	0	2	190	3	49	1844	1179	выполнять	665	VERB
1	79	221	1076	0	18	0	2	316	73	86	5631	3760	стать	1871	VERB
2	0	0	1	0	2	0	0	10	2	0	178	163	параллельно	15	ADV
3	0	0	4	0	2	0	0	44	0	0	857	807	одновременно	50	ADV
4	22	59	467	0	7	0	1	221	4	70	2510	1659	позволять	851	VERB
5	30	20	993	0	563	0	0	4112	493	205	87888	81472	это	6416	PRON
6	129	40	2289	5	269	0	2	2102	197	609	68492	62850	то	5642	PRON
7	56	16	322	0	24	0	3	267	20	54	3425	2663	представлять	762	VERB
8	234	244	4570	6	143	1	1	3072	315	108	118794	110100	быть	8694	VERB
9	7	10	83	0	7	0	0	52	0	17	936	760	включать	176	VERB
10	2	2	10	0	4	0	0	24	8	0	226	176	задать	50	VERB
11	0	0	5	0	1	0	0	9	0	0	46	31	корректно	15	ADV
12	0	0	14	0	1	0	0	14	0	0	194	165	завершать	29	VERB
13	1	1	8	0	1	0	0	11	2	1	141	116	выдать	25	VERB
14	28	28	193	0	24	0	2	327	2	47	2726	2075	приводить	651	VERB
15	167	141	2301	0	102	0	8	659	22	163	10620	7057	давать	3563	VERB
16	1	2	51	0	1	0	0	51	5	8	487	368	содержать	119	VERB
17	0	2	11	0	0	0	0	11	2	6	153	121	сохраниться	32	VERB
18	5	4	16	0	0	0	0	18	0	2	89	44	дойти	45	VERB
19	1	0	110	0	50	0	0	266	59	24	5671	5161	сегодня	510	ADV
20	40	45	691	3	349	0	0	2260	321	43	25331	21579	кто	3752	PRON
21	1	0	673	0	21	0	2	514	12	27	11039	9789	очень	1250	ADV
22	41	297	162	0	13	0	0	223	27	50	2658	1845	казаться	813	VERB
23	135	99	2942	0	46	0	8	669	72	208	10232	6053	иметь	4179	VERB
24	39	51	306	0	21	0	1	381	9	118	3757	2831	заниматься	926	VERB
25	1	0	5	0	0	0	0	40	1	0	519	472	разумеется	47	ADV
26	0	1	5	0	0	0	0	107	2	2	877	760	вряд	117	ADV
27	6	4	4	0	4	0	0	13	4	0	104	69	счесть	35	VERB
